Categoria;Nome;Ingredientes;Preço Grande;Preço Junior
Lanches;Misto Quente;Tomate, presunto e queijo;28;18
Lanches;Burguer;Hambúrguer, queijo e tomate;28;18
Lanches;Salada;Hambúrguer, queijo, tomate e alface;30;20
Lanches;Hamburgão;Hambúrguer, presunto, ovo, queijo e tomate;33;22
Lanches;Acebolado;Hambúrguer, queijo, tomate e cebola;31;21
Lanches;Vegetariano;Queijo, ovo, milho, azeitona, alface, tomate e cebola;30;20
Lanches;Milho;Hambúrguer, queijo, tomate e milho;31;21
Lanches;Azeitonado;Hambúrguer, queijo, tomate e azeitona;32;22
Lanches;Bacon;Hambúrguer, queijo, bacon e tomate;35;23
Lanches;Calabresa;Hambúrguer, queijo, calabresa e tomate;33;22
Lanches;Americano;Hambúrguer, alface, presunto, ovo, queijo e tomate;33;22
Lanches;Catupiry;Hambúrguer, queijo, catupiry e tomate;36;24
Lanches;Palmito;Hambúrguer, queijo, palmito e tomate;34;24
Lanches;Cheddar;Hambúrguer, cheddar, queijo e tomate;33;22
Lanches;Tudo;Hambúrguer, queijo, presunto, bacon, ovo, milho, azeitona, alface, tomate e cebola;39;27
Lanches;A Moda;Hambúrguer, queijo, presunto, bacon, ovo, azeitona, milho, cebola, alface e tomate;42;28
Lanches;3 Queijos;Hambúrguer, queijo, catupiry, cheddar e mussarela;36;23
Lanches;Brocolis;Hambúrguer, brocolis, queijo, bacon e catupiry;36;24
Lanches;Frango;Frango, queijo e tomate;30;22
Lanches;Frango Salada;Frango, queijo, tomate e alface;32;22
Lanches;Frango Acebolado;Frango, queijo, tomate e cebola;33;23
Lanches;Frango Azeitonado;Frango, queijo, tomate e azeitona;33;23
Lanches;Frango Milho;Frango, queijo, tomate e milho;33;23
Lanches;Frango Bacon;Frango, queijo, bacon e tomate;35;23
Lanches;Frango Americano;Frango, alface, presunto, ovo, queijo e tomate;35;23
Lanches;Frango Catupiry;Frango, queijo, catupiry e tomate;37;24
Lanches;Frango a Moda;Frango, queijo, presunto, bacon, ovo, milho, azeitona, alface e tomate;42;28
Lanches;Frango Tudo;Frango, queijo, presunto, bacon, ovo, milho, azeitona, alface e tomate;40;28
Lanches;Frango Especial;Frango, catupiry, milho, palmito, queijo e tomate;38;27
Lanches;Lombo;Lombo, queijo e tomate;33;23
Lanches;Lombo Salada;Lombo, queijo, tomate e alface;35;23
Lanches;Lombo Azeitonado;Lombo, queijo, tomate e azeitona;35;23
Lanches;Lombo Hamburguúr;Lombo, presunto, ovo, queijo e tomate;35;23
Lanches;Lombo Acebolado;Lombo, queijo, tomate e cebola;35;23
Lanches;Lombo Milho;Lombo, queijo, tomate e milho;35;23
Lanches;Lombo Bacon;Lombo, queijo, bacon e tomate;36;24
Lanches;Lombo Americano;Lombo, alface, presunto, ovo, queijo e tomate;36;24
Lanches;Lombo Catupiry;Lombo, queijo, catupiry e tomate;38;25
Lanches;Lombo Tudo;Lombo, queijo, presunto, bacon, ovo, azeitona, alface, tomate e milho;40;28
Lanches;Lombo à Moda;Lombo, queijo, presunto, bacon, ovo, azeitona, milho, alface, tomate e catupiry;42;29
Lanches;Contra Filé;Contra filé, queijo e tomate;39;26
Lanches;Contra Filé Tudo;Contra filé, queijo, presunto, bacon, ovo, milho, azeitona, alface, tomate e cebola;43;30
Lanches;Contra Filé Catupiry;Contra filé, queijo, catupiry e tomate;40;28
Bauru;Linguiça;Pão francês, linguiça, queijo, cebola e tomate;33;-
Bauru;Linguiça Apimentada;Pão francês, linguiça apimentada, queijo, cebola e tomate;33;-
Bauru;Lombo;Pão francês, lombo, queijo, cebola e tomate;35;-
Bauru;Frango;Pão francês, frango, queijo, cebola e tomate;33;-
Bauru;Contra Filé;Pão francês, contra filé, queijo, cebola e tomate;39;-
Hot Dog;Dog Simples;-;16;-
Hot Dog;Simples c/ Ovo;-;17;-
Hot Dog;Duplo;-;17;-
Hot Dog;Duplo c/ Ovo;-;18;-
Hot Dog;Dog Milho;-;20;-
Hot Dog;Dog Salada;-;19;-
Hot Dog;Dog Bacon;-;25;-
Hot Dog;Dog Catupiry;-;26;-
Hot Dog;Dog Especial;-;27;-
Hot Dog;Dog Frango Catupiry;-;28;-
Hot Dog;Dog Presunto Mussarela;-;25;-
Hot Dog;Dog Calabresa;-;25;
Porções;Contra-filé;;58;45
Porções;Lombo;;45;38
Porções;Linguiça;;45;38
Porções;Frango;;46;38
Porções;Batata-Frita;;26;20
Bebidas;Coca Cola 2l;;15;
Bebidas;Sabores 2l;;14;
Bebidas;Coca Cola 600ml;;9;
Bebidas;Coca Cola Lata;;6;
Bebidas;Sabores Lata;;6;
Bebidas;Cervejas Lata;;6;
